,yor Evaled on,amh Evaled on,hau Evaled on,kin Evaled on,lug Evaled on,luo Evaled on,wol Evaled on,swa Evaled on,ibo Evaled on,pcm Evaled on
lug (NER finetune lang),46.65,30.15,60.89,55.06,80.17,40.12,37.96,59.89,53.53,58.49
yor (NER finetune lang),77.85,30.89,62.33,54.5,53.76,36.68,42.17,59.96,53.2,63.14
ibo (NER finetune lang),53.58,30.76,61.36,50.49,53.97,38.28,43.85,63.52,84.85,65.97
wol (NER finetune lang),41.38,16.35,50.42,52.47,47.02,35.47,64.22,45.67,51.77,50.75
hau (NER finetune lang),52.7,34.99,89.45,57.57,56.6,38.36,40.65,76.34,53.81,68.77
pcm (NER finetune lang),32.52,39.88,67.12,43.04,45.66,31.42,25.23,72.37,44.15,87.34
luo (NER finetune lang),41.1,16.78,38.48,41.43,50.95,74.5,37.5,40.9,42.24,41.74
swa (NER finetune lang),50.34,35.79,76.31,57.91,53.67,36.25,38.82,87.76,50.97,70.48
amh (NER finetune lang),18.0,70.64,62.77,24.43,21.1,16.43,16.51,59.57,26.99,52.2
kin (NER finetune lang),49.79,21.92,62.92,73.72,58.94,38.53,43.65,67.36,52.05,67.32
