,amh Evaled on,hau Evaled on,pcm Evaled on,ibo Evaled on,luo Evaled on,kin Evaled on,swa Evaled on,lug Evaled on,wol Evaled on,yor Evaled on
swa (NER finetune lang),33.6,90.4,65.8,37.2,24.0,56.6,90.6,53.2,38.4,58.6
lug (NER finetune lang),15.6,65.0,61.8,36.4,26.8,58.6,67.0,76.2,43.0,52.6
pcm (NER finetune lang),29.8,79.2,85.6,25.6,23.0,50.4,79.0,47.8,6.8,41.4
hau (NER finetune lang),29.2,93.2,65.8,37.6,23.8,58.6,84.4,57.0,46.4,63.0
wol (NER finetune lang),16.2,64.8,58.6,38.6,18.6,54.8,63.8,44.8,81.2,46.4
luo (NER finetune lang),19.4,43.2,47.8,40.6,76.6,44.8,46.2,51.4,50.8,49.8
kin (NER finetune lang),13.6,68.2,65.6,32.4,26.2,75.2,73.6,61.8,51.4,50.6
amh (NER finetune lang),74.0,68.4,59.8,29.4,15.6,32.6,62.2,29.8,26.8,34.2
yor (NER finetune lang),28.0,72.2,67.2,35.2,24.8,55.6,68.4,55.4,44.2,80.6
ibo (NER finetune lang),30.6,67.8,69.0,84.8,27.6,50.0,73.4,51.8,50.4,59.0
