,amh Evaled on,hau Evaled on,pcm Evaled on,ibo Evaled on,luo Evaled on,kin Evaled on,swa Evaled on,lug Evaled on,wol Evaled on,yor Evaled on
swa (NER finetune lang),35.79,76.31,70.48,50.97,36.25,57.91,87.76,53.67,38.82,50.34
lug (NER finetune lang),30.15,60.89,58.49,53.53,40.12,55.06,59.89,80.17,37.96,46.65
pcm (NER finetune lang),39.88,67.12,87.34,44.15,31.42,43.04,72.37,45.66,25.23,32.52
hau (NER finetune lang),34.99,89.45,68.77,53.81,38.36,57.57,76.34,56.6,40.65,52.7
wol (NER finetune lang),16.35,50.42,50.75,51.77,35.47,52.47,45.67,47.02,64.22,41.38
luo (NER finetune lang),16.78,38.48,41.74,42.24,74.5,41.43,40.9,50.95,37.5,41.1
kin (NER finetune lang),21.92,62.92,67.32,52.05,38.53,73.72,67.36,58.94,43.65,49.79
amh (NER finetune lang),70.64,62.77,52.2,26.99,16.43,24.43,59.57,21.1,16.51,18.0
yor (NER finetune lang),30.89,62.33,63.14,53.2,36.68,54.5,59.96,53.76,42.17,77.85
ibo (NER finetune lang),30.76,61.36,65.97,84.85,38.28,50.49,63.52,53.97,43.85,53.58
