,swa Evaled on,ibo Evaled on,luo Evaled on,kin Evaled on,pcm Evaled on,amh Evaled on,hau Evaled on,lug Evaled on,wol Evaled on,yor Evaled on
ibo (NER finetune lang),78.2,89.2,24.8,53.0,76.0,34.0,72.0,53.6,28.4,60.2
hau (NER finetune lang),75.6,41.2,25.0,55.4,72.2,28.6,95.0,53.0,21.4,51.8
kin (NER finetune lang),80.4,29.4,22.8,78.2,69.8,24.6,71.6,61.6,38.6,43.6
lug (NER finetune lang),78.2,33.4,33.6,57.0,66.6,21.0,71.2,80.6,50.0,62.2
luo (NER finetune lang),67.6,43.8,80.4,44.0,60.2,14.2,62.0,51.2,47.4,46.2
wol (NER finetune lang),71.0,37.8,18.4,54.4,59.2,18.2,72.4,47.2,83.2,47.8
swa (NER finetune lang),92.4,26.0,27.8,53.6,71.6,22.0,77.6,52.8,10.8,48.0
amh (NER finetune lang),52.4,27.0,16.8,34.6,59.6,80.6,56.8,38.6,11.4,35.8
yor (NER finetune lang),76.0,38.0,22.4,54.6,71.8,25.8,75.0,47.4,24.8,86.0
pcm (NER finetune lang),81.4,27.8,23.8,66.2,86.6,29.8,78.4,56.2,27.8,43.6
