,amh Evaled on,hau Evaled on,pcm Evaled on,ibo Evaled on,luo Evaled on,kin Evaled on,swa Evaled on,lug Evaled on,wol Evaled on,yor Evaled on
base (NER finetune lang),35.79,76.31,70.48,50.97,36.25,57.91,87.76,53.67,38.82,50.34
hau (NER finetune lang),23.53,70.96,73.43,58.54,43.3,59.45,87.61,56.43,38.92,53.97
luo (NER finetune lang),31.9,74.5,70.57,50.24,43.62,56.76,87.56,54.8,36.63,51.67
yor (NER finetune lang),28.84,73.03,69.52,58.45,39.74,59.37,87.2,56.09,32.98,56.26
wol (NER finetune lang),32.68,74.32,69.19,51.51,39.77,58.71,87.06,55.51,63.83,48.99
pcm (NER finetune lang),30.34,71.17,70.2,52.04,40.12,70.61,86.98,61.56,43.85,50.17
lug (NER finetune lang),31.56,73.97,69.78,52.51,42.81,63.53,87.72,72.45,39.88,55.64
swa (NER finetune lang),24.05,56.21,64.79,40.02,30.35,45.87,89.64,42.78,14.6,36.16
ibo (NER finetune lang),33.55,71.61,69.91,69.7,38.04,59.25,86.83,56.34,38.65,52.99
amh (NER finetune lang),44.81,69.46,67.48,52.52,39.71,58.68,86.28,55.01,39.13,49.99
kin (NER finetune lang),30.34,71.17,70.2,52.04,40.12,70.61,86.98,61.56,43.85,50.17
