,ibo Evaled on,hau Evaled on,kin Evaled on,yor Evaled on,amh Evaled on,lug Evaled on,wol Evaled on,luo Evaled on,swa Evaled on,pcm Evaled on
ibo (NER finetune lang),69.6,86.8,58.2,57.0,32.8,53.6,39.8,23.4,90.4,67.2
yor (NER finetune lang),45.0,87.0,58.0,59.2,28.8,52.6,23.2,22.8,90.6,65.8
swa (NER finetune lang),26.0,77.6,53.6,48.0,22.0,52.8,10.8,27.8,92.4,71.6
luo (NER finetune lang),35.8,89.2,57.2,62.0,31.6,56.0,35.2,26.4,91.0,67.2
wol (NER finetune lang),34.4,88.2,57.4,52.0,30.8,52.8,76.8,24.0,90.0,64.8
kin (NER finetune lang),36.4,86.2,69.6,55.6,31.2,62.6,48.2,28.0,90.6,67.4
hau (NER finetune lang),40.6,76.4,60.0,59.6,26.4,57.2,37.4,28.2,90.6,71.0
base (NER finetune lang),37.2,90.4,56.6,58.6,33.6,53.2,38.4,24.0,90.6,65.8
pcm (NER finetune lang),36.4,86.2,69.6,55.6,31.2,62.6,48.2,28.0,90.6,67.4
amh (NER finetune lang),31.4,83.8,58.2,52.8,39.0,53.4,43.8,25.4,89.2,66.0
lug (NER finetune lang),35.2,87.6,62.8,63.4,33.6,71.8,42.0,31.0,90.6,66.6
